Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),Webserver,Amazon EC2,0,61.672,740.06,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (610 GB per month), DT Outbound: Internet (20 GB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t2.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),API server,Amazon EC2,0,65.272,783.26,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (60 GB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t2.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),Live-stream server,Amazon EC2,0,47.902,574.82,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (550 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (t2.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (No snapshot storage)"
Reduced_Cost_Estimate,US East (N. Virginia),Graph DB,Amazon Neptune,0,156.18,1874.16,USD,"Number of workbench instances (0), Workbench Instances (ml.t2.2xlarge), Usage (Neptune Workbench instances) (100 %Utilized/Month), Number of instances (2), Neptune instance type (db.t3.medium), Usage (Neptune instances) (100 %Utilized/Month), Data stored (5 GB), Backup storage (600 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),Object store,S3 Standard,0,942.08,11304.96,USD,S3 Standard storage (40 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Object store,S3 Standard - Infrequent Access,0,1536,18432,USD,S3 Standard-IA storage (120 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),Object store,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (23 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),CDN,Amazon CloudFront,0,1985.36,23824.32,USD,"Data transfer out to internet (23 TB per month), Number of requests (HTTPS) (50000000 per month)"
Reduced_Cost_Estimate,US East (N. Virginia),VPC (NAT Gateway),VPN Connection,0,0,0,USD,Working days per month (22)
Reduced_Cost_Estimate,US East (N. Virginia),VPC (NAT Gateway),Network Address Translation (NAT) Gateway,0,32.89,394.68,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),Load balancers,Application Load Balancer,0,1523.83,18285.96,USD,Number of Application Load Balancers (3)
Reduced_Cost_Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (2), Number of EIPs per instance (1)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
"To cut costs, I assume I will charge users to stream videos in 720p. If 10% of daily sessions stream in 720p and I stream the rest in 480p, I will be able to reduce my CloudFront data transfer 23 TB. I also decided to keep only the current year's worth of data in S3 to reduce storage costs and elminated snapshotting on the streaming server.",,,,,,,,
